Image_Name,Start_x,Start_y,End_x,End_y,Image_class,Image_Path,Car_Name,Img_H,Img_W,Resize_Img_Path,Car_Type,Model,Year
00001.jpg,0.065,0.29,0.9483333333333334,0.9375,14,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Audi TTS Coupe 2012/00001.jpg,Audi TTS Coupe 2012,400,600,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00001.jpg,Coupe,Audi,2012
00002.jpg,0.04,0.17185185185185184,0.9644444444444444,0.8696296296296296,3,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Acura TL Sedan 2012/00002.jpg,Acura TL Sedan 2012,675,900,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00002.jpg,Sedan,Acura,2012
00003.jpg,0.1328125,0.2270833333333333,0.9390625,0.79375,91,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Dodge Dakota Club Cab 2007/00003.jpg,Dodge Dakota Club Cab 2007,480,640,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00003.jpg,Van,Dodge,2007
00004.jpg,0.2957142857142857,0.28354978354978355,0.7066666666666667,0.7907647907647908,134,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Hyundai Sonata Hybrid Sedan 2012/00004.jpg,Hyundai Sonata Hybrid Sedan 2012,1386,2100,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00004.jpg,Sedan,Hyundai,2012
00005.jpg,0.09722222222222222,0.3333333333333333,0.9236111111111112,0.9166666666666666,106,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Ford F-450 Super Duty Crew Cab 2012/00005.jpg,Ford F-450 Super Duty Crew Cab 2012,108,144,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00005.jpg,Van,Ford,2012
00006.jpg,0.4504347826086956,0.6705336426914154,0.8956521739130435,0.965197215777262,123,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Geo Metro Convertible 1993/00006.jpg,Geo Metro Convertible 1993,431,575,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00006.jpg,Convertible,Geo,1993
00007.jpg,0.1375,0.16666666666666666,0.8453125,0.8270833333333333,89,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Dodge Journey SUV 2012/00007.jpg,Dodge Journey SUV 2012,480,640,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00007.jpg,SUV,Dodge,2012
00008.jpg,0.11424100156494522,0.16458333333333333,0.9248826291079812,0.8541666666666666,96,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Dodge Charger Sedan 2012/00008.jpg,Dodge Charger Sedan 2012,480,639,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00008.jpg,Sedan,Dodge,2012
00009.jpg,0.015625,0.1494661921708185,0.99140625,0.9145907473309608,167,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Mitsubishi Lancer Sedan 2012/00009.jpg,Mitsubishi Lancer Sedan 2012,843,1280,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00009.jpg,Sedan,Mitsubishi,2012
00010.jpg,0.0328125,0.22916666666666666,0.9734375,0.7645833333333333,58,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Chevrolet Traverse SUV 2012/00010.jpg,Chevrolet Traverse SUV 2012,480,640,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00010.jpg,SUV,Chevrolet,2012
00011.jpg,0.0796875,0.21933962264150944,0.9390625,0.9268867924528302,49,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Buick Verano Sedan 2012/00011.jpg,Buick Verano Sedan 2012,424,640,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00011.jpg,Sedan,Buick,2012
00012.jpg,0.012,0.1968253968253968,0.998,0.907936507936508,186,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Toyota Sequoia SUV 2012/00012.jpg,Toyota Sequoia SUV 2012,315,500,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00012.jpg,SUV,Toyota,2012
00013.jpg,0.06,0.10746268656716418,0.836,0.9164179104477612,135,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Hyundai Elantra Sedan 2007/00013.jpg,Hyundai Elantra Sedan 2007,335,500,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00013.jpg,Sedan,Hyundai,2007
00014.jpg,0.03875,0.41,0.9725,0.9,85,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Dodge Caravan Minivan 1997/00014.jpg,Dodge Caravan Minivan 1997,600,800,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00014.jpg,Van,Dodge,1997
00015.jpg,0.05,0.18160377358490565,0.9203125,0.8938679245283019,193,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Volvo C30 Hatchback 2012/00015.jpg,Volvo C30 Hatchback 2012,424,640,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00015.jpg,Hatchback,Volvo,2012
00016.jpg,0.0421875,0.10208333333333333,0.9546875,0.825,172,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Plymouth Neon Coupe 1999/00016.jpg,Plymouth Neon Coupe 1999,480,640,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00016.jpg,Coupe,Plymouth,1999
00017.jpg,0.15057915057915058,0.26804123711340205,0.8996138996138996,0.7731958762886598,14,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Audi TTS Coupe 2012/00017.jpg,Audi TTS Coupe 2012,194,259,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00017.jpg,Coupe,Audi,2012
00018.jpg,0.015,0.054421768707482984,0.95,1.0,73,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Chevrolet Malibu Sedan 2007/00018.jpg,Chevrolet Malibu Sedan 2007,147,200,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00018.jpg,Sedan,Chevrolet,2007
00019.jpg,0.16466666666666666,0.3059701492537313,0.9106666666666666,0.8113006396588486,192,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Volkswagen Beetle Hatchback 2012/00019.jpg,Volkswagen Beetle Hatchback 2012,938,1500,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00019.jpg,Hatchback,Volkswagen,2012
00020.jpg,0.017,0.4323076923076923,0.961,0.916923076923077,57,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Chevrolet Corvette Ron Fellows Edition Z06 2007/00020.jpg,Chevrolet Corvette Ron Fellows Edition Z06 2007,650,1000,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00020.jpg,Coupe,Chevrolet,2007
00021.jpg,0.02266666666666667,0.3326226012793177,0.9266666666666666,0.7995735607675906,79,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Chrysler 300 SRT-8 2010/00021.jpg,Chrysler 300 SRT-8 2010,469,750,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00021.jpg,Sedan,Chrysler,2010
00022.jpg,0.10095238095238096,0.38816738816738816,0.9014285714285716,0.816017316017316,36,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/BMW M6 Convertible 2010/00022.jpg,BMW M6 Convertible 2010,1386,2100,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00022.jpg,Convertible,BMW,2010
00023.jpg,0.022000000000000002,0.1037037037037037,0.9520000000000001,0.8666666666666667,120,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/GMC Yukon Hybrid SUV 2012/00023.jpg,GMC Yukon Hybrid SUV 2012,270,500,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00023.jpg,SUV,GMC,2012
00024.jpg,0.0517578125,0.1640625,0.9501953125,0.80859375,170,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Nissan Juke Hatchback 2012/00024.jpg,Nissan Juke Hatchback 2012,768,1024,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00024.jpg,Hatchback,Nissan,2012
00025.jpg,0.05629139072847682,0.19205298013245034,0.9387417218543046,0.7571743929359823,194,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Volvo 240 Sedan 1993/00025.jpg,Volvo 240 Sedan 1993,453,604,/content/drive/My Drive/capstone/Car Images/train_img_300_resized/00025.jpg,Sedan,Volvo,1993
